abandon: terk et
ability: yetenek
able: yapabilme
about: hakkında
above: üzerinde
absent: devamsız
absorb: absorbe
abstract: soyut
absurd: absürt
abuse: suistimal
access: erişim
accident: kaza
account: hesap
accuse: suçla
achieve: başar
acid: asit
acoustic: akustik
acquire: elde etm
across: karşısında
act: harekete geç
action: aksiyon
actor: aktör
actress: aktris
actual: gerçek
adapt: adapte et
add: ekle
addict: bağımlı
address: adres
adjust: ayarla
admit: itiraf et
adult: yetişkin
advance: ilerle
advice: tavsiye
aerobic: aerobik
affair: ilişki
afford: gücü yetmek
afraid: korkmuş
again: tekrar
age: yaş
agent: ajan
agree: katıl
ahead: önde
aim: hedef
air: hava
airport: havaalanı
aisle: koridor
alarm: alarm
album: albüm
alcohol: alkol
alert: uyarı
alien: uzaylı
all: hepsi
alley: sokak
allow: izin ver
almost: neredeyse
alone: yalnız
alpha: alfa
already: çoktan
also: ayrıca
alter: değiştir
always: her zaman
amateur: amatör
amazing: inanılmaz
among: arasında
amount: miktar
amused: eğlen
analyst: analist
anchor: çapa
ancient: antik
anger: öfke
angle: açı
angry: sinirli
animal: hayvan
ankle: bilek
announce: duyur
annual: yıllık
another: diğer
answer: cevap
antenna: anten
antique: antika
anxiety: endişe
any: herhangi
apart: ayrı
apology: özür
appear: görün
apple: elma
approve: onayla
april: nisan
arch: kemer
arctic: arktik
area: alan
arena: arena
argue: tartış
arm: kol
armed: silahlı
armor: zırh
army: ordu
around: etrafında
arrange: düzenle
arrest: tutukla
arrive: ulaş
arrow: ok
art: sanat
artefact: eser
artist: sanatçı
artwork: sanat eseri
ask: sor
aspect: bakış açısı
assault: saldırı
asset: varlık
assist: yardım
assume: farz et
asthma: astım
athlete: atlet
atom: atom
attack: saldırı
attend: katıl
attitude: davranış
attract: cezbet
auction: açık arttırma
audit: denetim
august: ağustos
aunt: hala
author: yazar
auto: otomobil
autumn: sonbahar
average: ortalama
avocado: avokado
avoid: kaçın
awake: uyan
aware: farkında ol
away: uzak
awesome: mükemmel
awful: berbat
awkward: garip
axis: eksen
baby: bebek
bachelor: üniversite mezunu
bacon: domuz pastırması
badge: rozet
bag: çanta
balance: denge
balcony: balkon
ball: top
bamboo: bambu
banana: muz
banner: afiş
bar: çubuk
barely: neredeyse
bargain: pazarlık
barrel: varil
base: baz
basic: temel
basket: sepet
battle: savaş
beach: sahil
bean: fasulye
beauty: güzellik
because: çünkü
become: haline gel
beef: ölçek
before: ölçek
begin: başla
behave: davran
behind: arka
believe: inan
below: altında
belt: kemer
bench: tezgâh
benefit: fayda
best: en iyi
betray: ihanet
better: daha iyi
between: arasında
beyond: öte
bicycle: bisiklet
bid: teklif et
bike: motor
bind: bağla
biology: biyoloji
bird: kuş
birth: doğum
bitter: acı
black: siyah
blade: bıçak ağzı
blame: suçla
blanket: battaniye
blast: büyük patlama
bleak: kasvetli
bless: kutsa
blind: kör
blood: kan
blossom: çiçek aç
blouse: bluz
blue: mavi
blur: bulanıklaştır
blush: kızar
board: pano
boat: bot
body: vücut
boil: kayna
bomb: bomba
bone: kemik
bonus: bonus
book: kitap
boost: artır
border: sınır
boring: sıkıcı
borrow: borç al
boss: patron
bottom: alt
bounce: sıçrama
box: kutu
boy: erkek çocuk
bracket: parantez
brain: beyin
brand: marka
brass: pirinç
brave: cesur
bread: ekmek
breeze: meltem
brick: tuğla
bridge: köprü
brief: kısa bilgi
bright: parlak 
bring: getirmek
brisk: canlı
broccoli: brokoli
broken: kırık
bronze: bronz
broom: süpürge
brother: erkek kardeş
brown: kahverengi
brush: fırçala
bubble: kabarcık
buddy: ahbap
budget: bütçe
buffalo: bufalo
build: inşa et
bulb: ampul
bulk: toplu
bullet: kurşun
bundle: paket
bunker: sığınak
burden: yük
burger: burger
burst: patla
bus: otobüs
business: işletme
busy: meşgul
butter: tereyağı
buyer: alıcı
buzz: vızıltı
cabbage: lahana
cabin: kabin
cable: kablo
cactus: kaktüs
cage: kafes
cake: kek
call: arama yapmak
calm: sakinlik
camera: kamera
camp: kamp
can: teneke kutu
canal: kanal
cancel: iptal etmek
candy: şeker
cannon: top
canoe: kano
canvas: tuval
canyon: kanyon
capable: yetenekli
capital: başkent
captain: kaptan
car: araba
carbon: karbon
card: kart
cargo: kargo
carpet: halı
carry: taşımak
cart: araba
case: dava
cash: peşin
casino: kumarhane
castle: kale
casual: gündelik
cat: kedi
catalog: katalog
catch: yakalamak
category: kategori
cattle: sığırlar
caught: yakalanmış
cause: neden
caution: dikkat
cave: mağara
ceiling: tavan
celery: kereviz
cement: çimento
census: nüfus sayımı
century: yüzyıl
cereal: mısır gevreği
certain: kesin
chair: sandalye
chalk: tebeşir
champion: şampiyon
change: değiştirmek
chaos: kaos
chapter: bölüm
charge: şarj
chase: takip etmek
chat: sohbet
cheap: ucuz
check: kontrol etmek
cheese: peynir
chef: şef
cherry: kiraz
chest: göğüs
chicken: tavuk
chief: baş
child: çocuk
chimney: baca
choice: seçenek
choose: seçmek
chronic: kronik
chuckle: kıkırdama
