Xabsorbe: absorb
Xabsürt: absurd
Xacele et: hurry
aciz: unable
Xacı: bitter
Xacımasız: cruel
Xacıt: hurt
acı çek: suffer
ada: island
XKendini ada: devote
xadapteet: adapt
aday: nominee
adres: address
Xadım: step
Xaerobik: aerobic
Xafiş: banner
ahbap: buddy
ahlaki: moral
Xhatırla: remember
aile: family
Xaile: parent
ajan: agent
akrep: scorpion
aksiyon: action
aktris: actress
Xaktör: actor
akustik: acoustic
Xakçaağaç: maple
Xakıl: mind
Xakıllı: clever
Xakıllı: smart
Xakşamyemeği: dinner
Xal: receive
alan: area
Xalan: field
Xalan: zone
Xalarm: alarm
Xalbüm: album
alet: gadget
alev: flame
alfa: alpha
alkol: alcohol
Xalkış: clap
Xalt: bottom
altı: six
Xaltın: gold
Xaltında: below
Xalıcı: buyer
Xalımsatım: trade
Xalıntı: quote
Xalışkanlık: habit
Xamatör: amateur
Xamaç: purpose
amca: uncle
ampul: bulb
Xan: moment
Xana: main
anahtar: key
analist: analyst
Xangaje et: engage
Xani: rapid
Xani: sudden
anket: survey
anlam: mean
Xanlat: tell
Xanlaşmak: deal
anne: mom
Xanne: mother
Xanten: antenna
Xantik: ancient
antika: antique
aptal: silly
Xara: search
araba: car
Xaraba: cart
aralık: december
Xaramak: dial
Xaramayapmak: call
Xarasında: among
Xarasında: between
Xaraç: tool
Xaraç: vehicle
Xaraştır: seek
Xarena: arena
arka: behind
Xarkadaş: friend
arktik: arctic
armut: pear
Xartır: increase
Xartır: boost
Xartır: raise
arz: supply
Xarıkümesi: swarm
Xarıza: fault
Xasansör: elevator
asil: royal
asit: acid
asker: soldier
asla: never
Xaslan: lion
Xastım: asthma
Xat: horse
Xat: toss
atak: strike
Xateş: fever
Xateş: fire
Xateşet: shoot
atlet: athlete
Xatom: atom
Xatık: waste
Xatıştırmalık: snack
avla: hunt
avokado: avocado
Xay: month
Xay: moon
ayak: foot
Xayakkabı: shoe
Xayaklanma: riot
ayarla: adjust
ayna: mirror
Xaynı: same
Xaynıfikirdeolmamak: disagree
Xayrı: apart
Xayrı: spare
Xayrıca: also
Xayrıl: leave
Xayrıl: split
Xayrılış: depart
Xayyıldızı: lunar
azalt: reduce
Xazaltmak: decrease
azletmek: dismiss
Xaç: hungry
Xaçı: angle
Xaçık: net
Xaçık: open
Xaçıkarttırma: auction
Xaçıklamak: clarify
Xaçıklamak: explain
Xaçıklık: gap
Xaçılmak: unfold
Xağ: network
Xağ: web
Xağaç: tree
Xağlamak: cry
Xağustos: august
Xağır: heavy
Xaşağıda: under
Xaşk: love
Xaşçı: cook
Xaşınmak: erode
Xaşırı: excess
baba: dad
Xbaba: father
Xbaca: chimney(bacak daha iyi)
bacak: leg
bagaj: luggage
bahar: spring
Xbaharat: spice
Xbahçe: garden
Xbahçe: yard
Xbahşiş: tip
bakkal: grocery
Xçocuk bak: foster
Xbakır: copper
Xbakış: gaze
Xbakış: glimpse
