Xabsorbe: absorb
Xabsürt: absurd
Xacele etmek: hurry
aciz: unable
Xacı: bitter
Xacımasız: cruel
Xacıt: hurt
Xacı çekmek: suffer
Xada: island
Xkendini adamak: devote
Xadapte et: adapt
aday: nominee
adres: address
Xadım: step
Xaerobik: aerobic
Xafiş: banner
ahbap: buddy
ahlaki: moral
Xhatırla: remember
aile: family
Xaile: parent
ajan: agent
akrep: scorpion
aksiyon: action
aktris: actress
Xaktör: actor
akustik: acoustic
Xakçaağaç: maple
Xakıl: mind
Xakıllı: clever
Xakıllı: smart
Xakşam yemeği: dinner
Xal: receive
alan: area
Xalan: field
Xalan: zone
Xalarm: alarm
Xalbüm: album
alet: gadget
alev: flame
alfa: alpha
alkol: alcohol
Xalkış: clap
Xalt: bottom
Xaltı: six
Xaltın: gold
Xaltında: below
Xalıcı: buyer
Xalımsatım: trade
Xalıntı: quote
Xalışkanlık: habit
Xamatör: amateur
Xamaç: purpose
amca: uncle
ampul: bulb
Xan: moment
Xana: main
anahtar: key
Xanalist: analyst
Xangaje et: engage
Xani: rapid
Xani: sudden
anket: survey
anlam: mean
Xanlat: tell
Xanlaşmak: deal
Xanne: mom
anne: mother
Xanten: antenna
Xantik: ancient
Xantika: antique
aptal: silly
Xara: search
araba: car
Xaraba: cart
Xaralık: december
Xaramak: dial
Xarama yapmak: call
Xarasında: among
Xarasında: between
Xaraç: tool
Xaraç: vehicle
Xaraştır: seek
Xarena: arena
arka: behind
Xarkadaş: friend
arktik: arctic
armut: pear
Xartır: increase
Xartır: boost
Xartır: raise
arz: supply
Xarıkümesi: swarm
Xarıza: fault
Xasansör: elevator
Xasil: royal
asit: acid
asker: soldier
asla: never
Xaslan: lion
Xastım: asthma
Xat: horse
Xat: toss
atak: strike
Xateş: fever
Xateş: fire
Xateşet: shoot
atlet: athlete
Xatom: atom
Xatık: waste
Xatıştırmalık: snack
avlamak: hunt
avokado: avocado
Xay: month
Xay: moon
ayak: foot
Xayakkabı: shoe
Xayaklanma: riot
ayarlamak: adjust
ayna: mirror
Xaynı: same
Xaynı fikirde olmamak: disagree
Xayrı: apart
Xayrı: spare
Xayrıca: also
Xayrıl: leave
Xayrıl: split
Xayrılış: depart
Xayyıldızı: lunar
azaltmak: reduce
Xazaltmak: decrease
azletmek: dismiss
Xaç: hungry
Xaçı: angle
Xaçık: net
Xaçık: open
Xaçıkarttırma: auction
Xaçıklamak: clarify
Xaçıklamak: explain
Xaçıklık: gap
Xaçılmak: unfold
Xağ: network
Xağ: web
Xağaç: tree
Xağlamak: cry
Xağustos: august
Xağır: heavy
Xaşağıda: under
Xaşk: love
Xaşçı: cook
Xaşınmak: erode
Xaşırı: excess
baba: dad
Xbaba: father
Xbaca: chimney(bacak daha iyi)
bacak: leg
bagaj: luggage
bahar: spring
Xbaharat: spice
Xbahçe: garden
Xbahçe: yard
Xbahşiş: tip
bakkal: grocery
Xçocuk bak: foster
Xbakır: copper
Xbakış: gaze
Xbakış: glimpse
Xbakış atmak: glance
Xbakış açısı: aspect
Xbal: honey
balina: whale
balkon: balcony
Xbalık: fish
Xbambu: bamboo
baraka: shed
bardak: cup
bariz: obvious
Xbarış: peace
Xbas: print
basit: simple
Xbataklık: swamp
Xbatmadan yüz: float
Xbattaniye: blanket (battle ile karışıyor)
Xbatı: west
bayan: lady
bayrak: flag
Xbayıl: faint
Xbaz: base
Xbağla: bind
Xbağlamak: connect
Xbağlantı: link
Xbağlıolmak: depend
Xbağımlı: addict
Xbağışyapmak: donate
Xbağışçı: donor
Xbağışıklık: immune
Xbaş: chief
Xbaşak: spike
Xbaşar: achieve
Xbaşar: prosper
Xbaşarı: success
Xbaşka: else
Xbaşkent: capital
Xbaşla: begin
Xbaşla: start
Xbaşlık: title
Xbaşlık: topic
Xbaşparmak: thumb
Xbaşparmak: toe
Xbaşıdönmek: dizzy
bebek: baby
Xbebek: infant
beklemek: wait
Xbeklemek: expect
bela: trouble
belge: document
belirsiz: obscure
Xbelirsiz: vague
Xbelirt: indicate
Xbenze: resemble
benzer: similar
berbat: awful
beri: since
beslemek: feed
betimlemek: describe
beyin: brain
Xbeğen: like
Xbeşik: cradle
biber: pepper
biftek: steak
Xbil: know
bilek: ankle
Xbilek: wrist
Xbilet: ticket
bilge: wise
Xbilgelik: wisdom
Xbilgi vermek: inform
bilim: science
Xbilinmeyen: unknown
Xbiniş: embark
