Xabsorbe: absorb
Xabsürt: absurd
Xaceleetmek: hurry
Xacı: bitter
Xacımasız: cruel
Xacıt: hurt
Xacıçekmek: suffer
Xada: island
Xadapteet: adapt
Xadım: step
Xaerobik: aerobic
Xafiş: banner
Xaktör: actor
Xakçaağaç: maple
Xakıl: mind
Xakıllı: smart
Xakşamyemeği: dinner
Xal: receive
Xalarm: alarm
Xalbüm: album
Xalkış: clap
Xalt: bottom
Xaltı: six
Xaltın: gold
Xaltında: below
Xalıcı: buyer
Xalımsatım: trade
Xalıntı: quote
Xalışkanlık: habit
Xamatör: amateur
Xamaç: purpose
Xan: moment
Xana: main
Xanalist: analyst
Xangajeetmek: engage
Xani: sudden
Xanlat: tell
Xanlaşmak: deal
Xanten: antenna
Xantik: ancient
Xantika: antique
Xaramayapmak: search
Xaraba: cart
Xaralık: december
Xaramak: dial
Xaramayapmak: call
Xarasında: between
Xaraç: vehicle
Xaraştırmak: seek
Xarena: arena
Xarkadaş: friend
Xartır: raise
Xarıkümesi: swarm
Xarıza: fault
Xasansör: elevator
Xasil: royal
Xaslan: lion
Xastım: asthma
Xat: toss
Xateş: fire
Xateşet: shoot
Xatom: atom
Xatık: waste
Xatıştırmalık: snack
Xay: moon
Xayakkabı: shoe
Xayaklanma: riot
Xaynı: same
Xaynıfikirdeolmamak: disagree
Xayrı: spare
Xayrıca: also
Xayrıl: split
Xayrılış: depart
Xayyıldızı: lunar
Xaç: hungry
Xaçı: angle
Xaçık: open
Xaçıkarttırma: auction
Xaçıklamak: explain
Xaçıklık: gap
Xaçılmak: unfold
Xağ: web
Xağaç: tree
Xağlamak: cry
Xağustos: august
Xağır: heavy
Xaşağıda: under
Xaşk: love
Xaşçı: cook
Xaşınmak: erode
Xaşırı: excess
Xbaba: father
Xbaca: chimney
Xbaharat: spice
Xbahçe: yard
Xbahşiş: tip
Xbakır: copper
Xbakış: glimpse
Xbakışatmak: glance
Xbakışaçısı: aspect
Xbal: honey
Xbalık: fish
Xbambu: bamboo
Xbarış: peace
Xbas: print
Xbataklık: swamp
Xbatmadanyüz: float
Xbattaniye: blanket
Xbatı: west
Xbayıl: faint
Xbaz: base
Xbağla: bind
Xbağlamak: connect
Xbağlantı: link
Xbağlıolmak: depend
Xbağımlı: addict
Xbağışyapmak: donate
Xbağışçı: donor
Xbağışıklık: immune
Xbaş: chief
Xbaşak: spike
Xbaşar: prosper
Xbaşarı: success
Xbaşka: else
Xbaşkent: capital
Xbaşla: start
Xbaşlık: topic
Xbaşparmak: toe
Xbaşıdönmek: dizzy
Xbebek: infant
Xbeklemek: expect
Xbelirsiz: vague
Xbelirt: indicate
Xbenze: resemble
Xbeğen: like
Xbeşik: cradle
Xbil: know
Xbilek: wrist
Xbilet: ticket
Xbilgelik: wisdom
Xbilgivermek: inform
Xbilinmeyen: unknown
Xbiniş: embark
Xbir: one
Xbirebiraynı: exact
Xbiriktirmek: collect
Xbirinci: first
Xbirisi: someone
Xbirkaç: few
Xbirkere: once
Xbirleştir: merge
Xbirleştirmek: combine
Xbomba: bomb
Xbonus: bonus
Xborç: loan
Xborçal: borrow
Xbot: boat
Xboyut: size
Xbozulmamış: intact
Xboş: vacant
Xboşanmak: divorce
Xboşluk: void
Xboşta: idle
Xboşvakit: leisure
Xbronz: bronze
Xbu: this
Xbuakşam: tonight
Xbugün: today
Xbul: found
Xbulanıklaştır: blur
Xburger: burger
Xbuz: ice
Xbuğday: wheat
Xböbrek: kidney
Xböcek: insect
Xbölge: region
Xbölmek: divide
Xbölüm: section
Xböyle: such
Xbüfe: cupboard
Xbütçe: budget
Xbütün: entire
Xbüyü: grow
Xbüyük: magic
Xbüyüklük: vast
Xbüyükpatlama: blast
Xbırak: quit
Xbıçak: knife
Xbıçakağzı: blade
Xcam: glass
Xcanlı: vivid
Xcaz: jazz
Xcesur: daring
Xceviz: walnut
Xcüce: dwarf
Xcümle: sentence
Xcümlegrubu: phrase
Xdahaiyi: better
Xdahasonra: later
Xdalgalanma: ripple
Xdalma: plunge
Xdamga: stamp
Xdar: narrow
Xdava: lawsuit
Xdavetet: invite
Xdavran: treat
Xdavranış: attitude
Xdağ: mountain
Xdağılım: scatter
Xdel: drill
Xdelik: hole
Xdenetim: audit
Xdeniz: sea
Xdere: river
Xderece: degree
Xders: lesson
Xdevamsız: absent
Xdevekuşu: ostrich
Xdevril: topple
Xdevriye: patrol
