aciz: unable
aday: nominee
adres: address
ahbap: buddy
ahlaki: moral
aile: family
ajan: agent
akrep: scorpion
aksiyon: action
aktris: actress
akustik: acoustic
alan: area
alet: gadget
alev: flame
alfa: alpha
alkol: alcohol
amca: uncle
ampul: bulb
anahtar: key
anket: survey
anlam: mean
anne: mother
aptal: silly
araba: car
arka: behind
arktik: arctic
armut: pear
arz: supply
asit: acid
asker: soldier
asla: never
atak: strike
atlet: athlete
avlamak: hunt
avokado: avocado
ayak: foot
ayarlamak: adjust
ayna: mirror
azaltmak: reduce
azletmek: dismiss
baba: dad
bacak: leg
bagaj: luggage
bahar: spring
bakkal: grocery
balina: whale
balkon: balcony
baraka: shed
bardak: cup
bariz: obvious
basit: simple
bayan: lady
bayrak: flag
bebek: baby
beklemek: wait
bela: trouble
belge: document
belirsiz: obscure
benzer: similar
berbat: awful
beri: since
beslemek: feed
betimlemek: describe
beyin: brain
biber: pepper
biftek: steak
bilek: ankle
bilge: wise
bilim: science
biraz: little
birim: unit
birlikte: together
bisiklet: bicycle
biyoloji: biology
bluz: blouse
bobin: coil
boyun: neck
brokoli: broccoli
bufalo: buffalo
buhar: vapor
bulut: cloud
burun: nose
canavar: monster
casus: spy
ceket: jacket
cesur: brave
cevap: answer
ceviz: nut
ceza: penalty
cezbetmek: attract
cihaz: device
cilt: skin
daha: more
daire: circle
dakika: minute
dalga: wave
damlamak: drip
dans: dance
darbe: impact
dava: case
davranmak: behave
davul: drum
debriyaj: clutch
dedikodu: gossip
deli: crazy
demiryolu: rail
denemek: try
denge: balance
deniz: marine
dere: creek
derinlik: depth
ders: lecture
desteklemek: uphold
detay: detail
devasa: giant
devlet: state
devrim: reform
dijital: digital
dikkat: caution
dilek: wish
dilim: slice
dinamik: dynamic
dinozor: dinosaur
direnmek: resist
dirsek: elbow
diyagram: diagram
diyet: diet
dizel: diesel
dizin: index
doktor: doctor
domates: tomato
domuz: pig
donatmak: equip
dosya: file
duman: smoke
duraklamak: pause
duvar: wall
duygu: emotion
duyurmak: announce
edepsiz: nasty
edinmek: obtain
efsane: legend
egzotik: exotic
ejderha: dragon
ekim: october
eklemek: add
ekmek: bread
ekoloji: ecology
ekonomi: economy
ekran: screen
eksen: axis
ekstra: extra
elbise: dress
eldiven: glove
elektrik: electric
eleman: staff
elma: apple
emin: sure
emir: order
engel: hurdle
enkaz: debris
erimek: melt
erkek: man
erozyon: erosion
eser: artefact
eski: old
etek: skirt
etiket: label
evlilik: marriage
evren: universe
ezmek: crush
faiz: interest
fare: mouse
fasulye: bean
fayda: benefit
fazla: much
fener: torch
fiil: verb
fikir: idea
fiyat: price
fiziksel: physical
folyo: foil
fosil: fossil
futbol: soccer
galeri: gallery
garip: awkward
gazi: veteran
gece: night
gecikme: delay
gelecek: future
gelgit: tide
gelir: income
gemi: ship
gerek: require
getir: bring
geyik: deer
gezegen: planet
gezi: trip
gitar: guitar
giysi: garment
gizem: mystery
gizli: secret
grup: group
gurur: pride
haberler: news
hafif: slight
hala: aunt
hapishane: prison
harcamak: spend
hareket: motion
harika: great
harp: warfare
hasta: ill
hata: error
havuz: pool
hayat: life
hayvan: animal
hecelemek: spell
hedef: aim
hediye: gift
hepsi: all
herhangi: any
hesap: account
hevesli: keen
heyecanlanmak: excite
hikaye: story
hindi: turkey
hissetmek: feel
hizmet: service
hobi: hobby
hokey: hockey
homurtu: grunt
hurda: junk
iddia: claim
ihanet: betray
ikilem: dilemma
ikinci: second
ikiz: twin
ileri: forward
inanmak: believe
ince: slender
inkar: denial
insan: human
ipek: silk
ipucu: hint
isim: name
istemek: want
istiridye: oyster
itibar: dignity
izci: scout
izin: permit
izlemek: track
izole: isolate
jeton: token
kaba: rough
kabile: tribe
kablo: cable
kabuk: shell
kadar: until
kadife: velvet
kafa: head
kafes: cage
kahraman: hero
kahve: coffee
kale: castle
kalite: quality
kalkan: shield
kalmak: stay
kalp: heart
kamera: camera
kamp: camp
kamu: public
kamyonet: truck
kanal: canal
kanepe: couch
kano: canoe
kanun: law
kanyon: canyon
kaos: chaos
kapak: cover
kaplan: tiger
kaptan: captain
karbon: carbon
kare: square
kargo: cargo
karides: shrimp
karma: hybrid
kart: card
kasa: vault
kasvet: gloom
katalog: catalog
kategori: category
katlamak: fold
katman: layer
kavanoz: jar
kaydetmek: save
kaykay: skate
kaynak: resource
kaza: accident
kedi: cat
kelime: word
keman: violin
kemer: arch
kemik: bone
kenar: edge
kendi: own
kentsel: urban
kereste: lumber
kertenkele: lizard
kesin: certain
kibrit: match
kilit: lock
kira: rent
kirpi: hedgehog
kitap: book
kivi: kiwi
klinik: clinic
koca: husband
koku: odor
kolay: easy
kolon: column
koltuk: seat
komik: comic
konak: mansion
konfor: comfort
kongre: congress
konser: concert
kontrol: control
konu: subject
koridor: aisle
korku: horror
korna: horn
krater: crater
kredi: credit
krem: cream
kriket: cricket
kristal: crystal
kroki: sketch
kronik: chronic
kuantum: quantum
kucaklamak: embrace
kule: tower
kumarhane: casino
kural: rule
kurdele: ribbon
kurgu: fiction
kurs: course
kurt: wolf
kuru: dry
kutsamak: bless
kutu: box
kuyruk: tail
kuzen: cousin
kuzgun: raven
labirent: maze
lahana: cabbage
lamba: lamp
lastik: rubber
lezzet: flavor
liman: harbor
lisans: license
liyakat: merit
madalya: medal
madde: matter
mahkum: inmate
mahsul: crop
makale: essay
makine: machine
maksimum: maximum
maliyet: cost
malzeme: material
mantar: mushroom
marka: brand
mart: march
masa: desk
masum: innocent
matematik: math
mavi: blue
maymun: monkey
mazeret: excuse
mecbur: oblige
medya: media
mekan: venue
mektup: envelope
meltem: breeze
memeli: mammal
memnun: glad
mendil: tissue
merak: wonder
mercan: coral
merdiven: ladder
merhaba: hello
merkez: hub
mermer: marble
mesafe: distance
mesaj: message
metro: subway
meyve: fruit
mide: stomach
midilli: pony
miktar: amount
milletvekili: deputy
milyon: million
minder: cushion
minik: tiny
miras: inherit
mizah: humor
moda: fashion
motor: bike
muazzam: immense
mucize: miracle
mutfak: kitchen
mutlu: happy
mutsuz: unhappy
nadir: rare
naif: naive
nazik: gentle
neden: cause
nemli: damp
neredeyse: almost
nesne: object
nisan: april
nokta: point
nostaljik: vintage
numara: trick
numune: sample
ocak: stove
odun: wood
ofis: office
oksijen: oxygen
okul: school
okyanus: ocean
olimpik: olympic
olumsuz: negative
omuz: shoulder
onarmak: repair
onaylamak: approve
onlar: they
orada: there
oran: rate
ordu: army
orijinal: original
orman: forest
orta: middle
otel: hotel
otomobil: auto
oturum: session
oyun: game
paket: bundle
palmiye: palm
pamuk: cotton
pano: board
parantez: bracket
parmak: finger
patates: potato
patern: pattern
patlamamak: erupt
patron: boss
pazar: market
pembe: pink
pencere: window
perde: curtain
peynir: cheese
piknik: picnic
pipo: pipe
piramit: pyramid
pist: runway
piyango: lottery
plaka: plate
porsiyon: portion
portakal: orange
pozisyon: position
pratik: practice
puding: pudding
pudra: powder
puro: cigar
radyo: radio
rahatlamak: relax
rakip: rival
rakun: raccoon
ralli: rally
rapor: report
rastgele: random
reddetmek: refuse
rehber: guide
rehin: pledge
renk: color
resim: image
ritim: rhythm
roket: rocket
roman: novel
rota: route
rozet: badge
saat: clock
sabah: morning
sabun: soap
sadece: just
sahil: beach
sahne: scene
sakin: calm
sallanmak: swing
sanal: virtual
sandalye: chair
saray: palace
satmak: sell
savunma: defense
sayfa: page
sebep: reason
sefalet: misery
sekiz: eight
sembol: symbol
semptop: symptom
senaryo: script
sepet: basket
sergi: exhibit
sersem: dumb
sert: harsh
servet: fortune
sessiz: silent
sevimli: cute
seyahat: journey
sezon: season
silah: gun
simge: icon
sincap: squirrel
sinir: nerve
sistem: system
sivil: civil
sivrisinek: mosquito
siyah: black
sohbet: chat
sokak: alley
somon: salmon
sonbahar: autumn
sonra: then
sonsuz: endless
soru: question
sosis: sausage
sosyal: social
soylu: noble
soyut: abstract
stil: style
stok: stock
surat: face
tabak: dish
tabla: tray
tabure: stool
takas: exchange
taksi: taxi
talep: demand
tamam: okay
taramak: scan
tarih: history
taslak: draft
tatil: holiday
tavan: ceiling
tavsiye: advice
tavuk: chicken
taze: fresh
tehlike: danger
tekerlek: wheel
teklif: offer
tekme: kick
tekrar: again
telefon: phone
tema: theme
tembel: lazy
temiz: clean
tenis: tennis
teori: theory
tepe: hill
terfi: promote
tetik: trigger
teyip: tape
tilki: fox
tipik: typical
tohum: seed
toplam: total
toprak: earth
tortu: clump
tost: toast
trajik: tragic
trompet: trumpet
turist: tourist
tutuklamak: arrest
tuvalet: toilet
ucuz: cheap
ulus: nation
umut: hope
usta: master
ustura: razor
uyanmak: awake
uzak: away
uzun: long
vadi: valley
vagon: wagon
vakum: vacuum
valf: valve
vardiya: shift
varil: barrel
vermek: give
vize: visa
vokal: vocal
volkan: volcano
yakalamak: grab
yama: patch
yapboz: puzzle
yapmak: make
yaprak: leaf
yasal: legal
yazar: author
yedi: seven
yelken: sail
yenilemek: renew
yerel: local
yerine: rather
yetenek: skill
yetim: orphan
yetki: mandate
yirmi: twenty
yiyecek: food
yoksulluk: poverty
yolculuk: voyage
yorgun: tired
yumruk: punch
yumurta: egg
yunus: dolphin
yuva: nest
zafer: victory
zaman: time
zamk: glue
zanaat: craft
zarar: damage
zarif: elegant
zemin: floor
zencefil: ginger
zengin: rich
zeytin: olive
ziyaret: visit
zorlamak: enforce
